host,protocol,title,domain,link
https://class.dxy.cn,https,丁香公开课 - 丁香园,dxy.cn,https://class.dxy.cn
https://open.dxy.cn,https,丁香园-医疗数据开放平台,dxy.cn,https://open.dxy.cn
https://wechat.dxy.cn,https,登录 - WeChat,dxy.cn,https://wechat.dxy.cn
https://ncov.dxy.cn,https,新冠防疫专区 - 丁香园·丁香医生,dxy.cn,https://ncov.dxy.cn
https://y.dxy.cn,https,医院汇－医疗行业品牌运营专家,dxy.cn,https://y.dxy.cn
https://app.dxy.cn,https,丁香无线,dxy.cn,https://app.dxy.cn
https://drugs.dxy.cn,https,丁香园用药助手,dxy.cn,https://drugs.dxy.cn
https://vote.dxy.cn,https,用来自临床一线医生的数字说话-丁香调查,dxy.cn,https://vote.dxy.cn
https://db.dxy.cn,https,丁香园 Insight 数据库,dxy.cn,https://db.dxy.cn
https://auth.dxy.cn,https,登录,dxy.cn,https://auth.dxy.cn
https://search.dxy.cn,https,丁香园搜索,dxy.cn,https://search.dxy.cn
https://e.dxy.cn,https,丁香智汇,dxy.cn,https://e.dxy.cn
https://www.dxy.cn,https,丁香园_医疗领域的连接者_丁香园生物医药科技网,dxy.cn,https://www.dxy.cn
millipore.dxy.cn,http,"默克密理博2010年快乐""膜""术师评选活动",dxy.cn,http://millipore.dxy.cn
https://index.dxy.cn,https,监测平台,dxy.cn,https://index.dxy.cn
index.dxy.cn,http,监测平台,dxy.cn,http://index.dxy.cn
hematology-lecture2010.dxy.cn,http,血液肿瘤专题讲座暨病例讨论活动,dxy.cn,http://hematology-lecture2010.dxy.cn
wash.dxy.cn,http,盐与健康世界行动(WASH),dxy.cn,http://wash.dxy.cn
https://sim.dxy.cn,https,登录 - SIM,dxy.cn,https://sim.dxy.cn
ebd.dxy.cn,http,网站建设中...,dxy.cn,http://ebd.dxy.cn
https://h.dxy.cn,https,,dxy.cn,https://h.dxy.cn
navigator.dxy.cn,http,Early和Navigator专区,dxy.cn,http://navigator.dxy.cn
basalinsulin.dxy.cn,http,基础胰岛素频道,dxy.cn,http://basalinsulin.dxy.cn
https://edit.www.dxy.cn,https,,dxy.cn,https://edit.www.dxy.cn
edit.www.dxy.cn,http,,dxy.cn,http://edit.www.dxy.cn
upload.ccm.dxy.cn,http,,dxy.cn,http://upload.ccm.dxy.cn
download.dental.dxy.cn,http,,dxy.cn,http://download.dental.dxy.cn
https://upload.www.dxy.cn,https,,dxy.cn,https://upload.www.dxy.cn
ncov.dxy.cn,http,新冠防疫专区 - 丁香园·丁香医生,dxy.cn,http://ncov.dxy.cn
edit.radiol.dxy.cn,http,,dxy.cn,http://edit.radiol.dxy.cn
upload.meeting.dxy.cn,http,,dxy.cn,http://upload.meeting.dxy.cn
download.psych.dxy.cn,http,,dxy.cn,http://download.psych.dxy.cn
https://edit.neurosurg.dxy.cn,https,,dxy.cn,https://edit.neurosurg.dxy.cn
upload.www.dxy.cn,http,,dxy.cn,http://upload.www.dxy.cn
download.otol.dxy.cn,http,,dxy.cn,http://download.otol.dxy.cn
https://upload.pediatr.dxy.cn,https,,dxy.cn,https://upload.pediatr.dxy.cn
https://www.upload.dxy.cn,https,,dxy.cn,https://www.upload.dxy.cn
https://download.pediatr.dxy.cn,https,,dxy.cn,https://download.pediatr.dxy.cn
upload.ultrasound.dxy.cn,http,,dxy.cn,http://upload.ultrasound.dxy.cn
edit.neurosurg.dxy.cn,http,,dxy.cn,http://edit.neurosurg.dxy.cn
https://download.rehab.dxy.cn,https,,dxy.cn,https://download.rehab.dxy.cn
https://upload.meeting.dxy.cn,https,,dxy.cn,https://upload.meeting.dxy.cn
https://upload.anesth.dxy.cn,https,,dxy.cn,https://upload.anesth.dxy.cn
download.rehab.dxy.cn,http,,dxy.cn,http://download.rehab.dxy.cn
https://download.dental.dxy.cn,https,,dxy.cn,https://download.dental.dxy.cn
https://upload.thorac.dxy.cn,https,,dxy.cn,https://upload.thorac.dxy.cn
upload.hematol.dxy.cn,http,,dxy.cn,http://upload.hematol.dxy.cn
upload.thorac.dxy.cn,http,,dxy.cn,http://upload.thorac.dxy.cn
download.email.dxy.cn,http,,dxy.cn,http://download.email.dxy.cn
edit.nurs.dxy.cn,http,,dxy.cn,http://edit.nurs.dxy.cn
https://edit.nurs.dxy.cn,https,,dxy.cn,https://edit.nurs.dxy.cn
reset.dxy.cn,http,,dxy.cn,http://reset.dxy.cn
contest.dxy.cn,http,2009乙肝耐药知识全国挑战赛,dxy.cn,http://contest.dxy.cn
edit.dental.dxy.cn,http,,dxy.cn,http://edit.dental.dxy.cn
https://upload.hematology-lecture2010.dxy.cn,https,,dxy.cn,https://upload.hematology-lecture2010.dxy.cn
download.nagios.hebei.dxy.cn,http,,dxy.cn,http://download.nagios.hebei.dxy.cn
https://download.oa.maswafa.dxy.cn,https,,dxy.cn,https://download.oa.maswafa.dxy.cn
https://upload.e.merybracho.dxy.cn,https,,dxy.cn,https://upload.e.merybracho.dxy.cn
https://download.c46i1aosm37t3od6m1b0.dxy.cn,https,,dxy.cn,https://download.c46i1aosm37t3od6m1b0.dxy.cn
download.api.referrals.dxy.cn,http,,dxy.cn,http://download.api.referrals.dxy.cn
https://upload.cardiovascular.dxy.cn,https,,dxy.cn,https://upload.cardiovascular.dxy.cn
upload.cardiovascular.dxy.cn,http,,dxy.cn,http://upload.cardiovascular.dxy.cn
https://download.basalinsulin.dxy.cn,https,,dxy.cn,https://download.basalinsulin.dxy.cn
download.c46i1aosm37t3od6m1b0.dxy.cn,http,,dxy.cn,http://download.c46i1aosm37t3od6m1b0.dxy.cn
download.assets.ms2.dxy.cn,http,,dxy.cn,http://download.assets.ms2.dxy.cn
upload.e.merybracho.dxy.cn,http,,dxy.cn,http://upload.e.merybracho.dxy.cn
https://download.assets.ms2.dxy.cn,https,,dxy.cn,https://download.assets.ms2.dxy.cn
https://upload.rehab.dxy.cn,https,,dxy.cn,https://upload.rehab.dxy.cn
assets.edit.host4.dxy.cn,http,,dxy.cn,http://assets.edit.host4.dxy.cn
https://todclb.reset.dxy.cn,https,,dxy.cn,https://todclb.reset.dxy.cn
https://dev1.upload.so.6d.dxy.cn,https,,dxy.cn,https://dev1.upload.so.6d.dxy.cn
https://exchange.edit.host4.dxy.cn,https,,dxy.cn,https://exchange.edit.host4.dxy.cn
exchange.edit.host4.dxy.cn,http,,dxy.cn,http://exchange.edit.host4.dxy.cn
upload.psych.dxy.cn,http,,dxy.cn,http://upload.psych.dxy.cn
upload.rehab.dxy.cn,http,,dxy.cn,http://upload.rehab.dxy.cn
edit.psych.dxy.cn,http,,dxy.cn,http://edit.psych.dxy.cn
https://bugzilla.edit.host4.dxy.cn,https,,dxy.cn,https://bugzilla.edit.host4.dxy.cn
https://edit.upload.so.6d.dxy.cn,https,,dxy.cn,https://edit.upload.so.6d.dxy.cn
dev1.upload.so.6d.dxy.cn,http,,dxy.cn,http://dev1.upload.so.6d.dxy.cn
https://assets.edit.host4.dxy.cn,https,,dxy.cn,https://assets.edit.host4.dxy.cn
https://upload.psych.dxy.cn,https,,dxy.cn,https://upload.psych.dxy.cn
edit.upload.so.6d.dxy.cn,http,,dxy.cn,http://edit.upload.so.6d.dxy.cn
todclb.reset.dxy.cn,http,,dxy.cn,http://todclb.reset.dxy.cn
https://upload.api.madison.dxy.cn,https,,dxy.cn,https://upload.api.madison.dxy.cn
bugzilla.edit.host4.dxy.cn,http,,dxy.cn,http://bugzilla.edit.host4.dxy.cn
https://upload.c2vhcmnobg9n.dxy.cn,https,,dxy.cn,https://upload.c2vhcmnobg9n.dxy.cn
https://upload.srvc17.dxy.cn,https,,dxy.cn,https://upload.srvc17.dxy.cn
download.happy.dxy.cn,http,,dxy.cn,http://download.happy.dxy.cn
upload.srvc17.dxy.cn,http,,dxy.cn,http://upload.srvc17.dxy.cn
https://edit.flesler.dxy.cn,https,,dxy.cn,https://edit.flesler.dxy.cn
https://download.addison.dxy.cn,https,,dxy.cn,https://download.addison.dxy.cn
https://upload.tranny.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.tranny.dxy.cn
download.open.dxy.cn,http,,dxy.cn,http://download.open.dxy.cn
download.vsa.dxy.cn,http,,dxy.cn,http://download.vsa.dxy.cn
https://edit.broadcast.dxy.cn,https,,dxy.cn,https://edit.broadcast.dxy.cn
https://edit.artsurgery.dxy.cn,https,,dxy.cn,https://edit.artsurgery.dxy.cn
https://live.edit.ird.dxy.cn,https,429 Too Many Requests,dxy.cn,https://live.edit.ird.dxy.cn
https://download.ihealth.dxy.cn,https,,dxy.cn,https://download.ihealth.dxy.cn
upload.opera.dxy.cn,http,,dxy.cn,http://upload.opera.dxy.cn
https://edit.meeting.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.meeting.dxy.cn
live.edit.ird.dxy.cn,http,,dxy.cn,http://live.edit.ird.dxy.cn
https://download.otol.dxy.cn,https,429 Too Many Requests,dxy.cn,https://download.otol.dxy.cn
https://upload.johnny.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.johnny.dxy.cn
https://edit.laboratory.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.laboratory.dxy.cn
https://download.kirk.dxy.cn,https,,dxy.cn,https://download.kirk.dxy.cn
upload.paper.dxy.cn,http,,dxy.cn,http://upload.paper.dxy.cn
edit.radiology.dxy.cn,http,,dxy.cn,http://edit.radiology.dxy.cn
upload.tranny.dxy.cn,http,,dxy.cn,http://upload.tranny.dxy.cn
edit.pediatr.dxy.cn,http,,dxy.cn,http://edit.pediatr.dxy.cn
https://edit.smtpout2.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.smtpout2.dxy.cn
download.addison.dxy.cn,http,,dxy.cn,http://download.addison.dxy.cn
upload.chest.dxy.cn,http,,dxy.cn,http://upload.chest.dxy.cn
https://download.mpzsjs.dxy.cn,https,429 Too Many Requests,dxy.cn,https://download.mpzsjs.dxy.cn
download.kirk.dxy.cn,http,,dxy.cn,http://download.kirk.dxy.cn
https://upload.paper.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.paper.dxy.cn
edit.smtpout2.dxy.cn,http,,dxy.cn,http://edit.smtpout2.dxy.cn
download.yao.dxy.cn,http,,dxy.cn,http://download.yao.dxy.cn
https://download.vsa.dxy.cn,https,,dxy.cn,https://download.vsa.dxy.cn
https://edit.allianz.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.allianz.dxy.cn
edit.flesler.dxy.cn,http,,dxy.cn,http://edit.flesler.dxy.cn
edit.broadcast.dxy.cn,http,,dxy.cn,http://edit.broadcast.dxy.cn
https://download.nurs.dxy.cn,https,,dxy.cn,https://download.nurs.dxy.cn
download.contest.dxy.cn,http,,dxy.cn,http://download.contest.dxy.cn
upload.wechat.dxy.cn,http,,dxy.cn,http://upload.wechat.dxy.cn
https://edit.radiology.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.radiology.dxy.cn
web.download.dxy.cn,http,,dxy.cn,http://web.download.dxy.cn
https://upload.chest.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.chest.dxy.cn
https://download.happy.dxy.cn,https,,dxy.cn,https://download.happy.dxy.cn
https://connect.edit.ird.dxy.cn,https,,dxy.cn,https://connect.edit.ird.dxy.cn
https://backup.edit.ird.dxy.cn,https,429 Too Many Requests,dxy.cn,https://backup.edit.ird.dxy.cn
https://upload.bz1lb.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.bz1lb.dxy.cn
upload.share.amp.dxy.cn,http,,dxy.cn,http://upload.share.amp.dxy.cn
upload.johnny.dxy.cn,http,,dxy.cn,http://upload.johnny.dxy.cn
download.ihealth.dxy.cn,http,,dxy.cn,http://download.ihealth.dxy.cn
upload.derm.dxy.cn,http,,dxy.cn,http://upload.derm.dxy.cn
monitor.edit.ird.dxy.cn,http,,dxy.cn,http://monitor.edit.ird.dxy.cn
https://count.edit.ird.dxy.cn,https,,dxy.cn,https://count.edit.ird.dxy.cn
backup.edit.ird.dxy.cn,http,,dxy.cn,http://backup.edit.ird.dxy.cn
edit.meeting.dxy.cn,http,,dxy.cn,http://edit.meeting.dxy.cn
download.mpzsjs.dxy.cn,http,,dxy.cn,http://download.mpzsjs.dxy.cn
download.nurs.dxy.cn,http,,dxy.cn,http://download.nurs.dxy.cn
https://download.simqa.dxy.cn,https,,dxy.cn,https://download.simqa.dxy.cn
https://upload.share.amp.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.share.amp.dxy.cn
upload.foods.dxy.cn,http,,dxy.cn,http://upload.foods.dxy.cn
https://download.contest.dxy.cn,https,429 Too Many Requests,dxy.cn,https://download.contest.dxy.cn
https://upload.derm.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.derm.dxy.cn
upload.newdrugs.dxy.cn,http,429 Too Many Requests,dxy.cn,http://upload.newdrugs.dxy.cn
count.edit.ird.dxy.cn,http,429 Too Many Requests,dxy.cn,http://count.edit.ird.dxy.cn
https://download.sim.dxy.cn,https,,dxy.cn,https://download.sim.dxy.cn
edit.hematol.dxy.cn,http,,dxy.cn,http://edit.hematol.dxy.cn
https://gm.edit.ird.dxy.cn,https,,dxy.cn,https://gm.edit.ird.dxy.cn
https://upload.file.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.file.dxy.cn
download.ask.dxy.cn,http,429 Too Many Requests,dxy.cn,http://download.ask.dxy.cn
https://edit.device.dxy.cn,https,,dxy.cn,https://edit.device.dxy.cn
https://edit.dental.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.dental.dxy.cn
upload.infect.dxy.cn,http,,dxy.cn,http://upload.infect.dxy.cn
edit.jieyan.dxy.cn,http,,dxy.cn,http://edit.jieyan.dxy.cn
https://upload.foods.dxy.cn,https,429 Too Many Requests,dxy.cn,https://upload.foods.dxy.cn
https://upload.open.dxy.cn,https,,dxy.cn,https://upload.open.dxy.cn
https://download.gtc.dxy.cn,https,429 Too Many Requests,dxy.cn,https://download.gtc.dxy.cn
edm.edit.ird.dxy.cn,http,,dxy.cn,http://edm.edit.ird.dxy.cn
upload.open.dxy.cn,http,,dxy.cn,http://upload.open.dxy.cn
https://edm.edit.ird.dxy.cn,https,,dxy.cn,https://edm.edit.ird.dxy.cn
download.gaz.dxy.cn,http,,dxy.cn,http://download.gaz.dxy.cn
https://edit.fanclub.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.fanclub.dxy.cn
https://download.gg.dxy.cn,https,429 Too Many Requests,dxy.cn,https://download.gg.dxy.cn
download.vpn2.dxy.cn,http,,dxy.cn,http://download.vpn2.dxy.cn
edit.dev-api.dxy.cn,http,,dxy.cn,http://edit.dev-api.dxy.cn
middle.upload.dxy.cn,http,,dxy.cn,http://middle.upload.dxy.cn
https://edit.dev-api.dxy.cn,https,,dxy.cn,https://edit.dev-api.dxy.cn
https://download.vpn2.dxy.cn,https,,dxy.cn,https://download.vpn2.dxy.cn
upload.janus.dxy.cn,http,,dxy.cn,http://upload.janus.dxy.cn
dev.edit.ird.dxy.cn,http,429 Too Many Requests,dxy.cn,http://dev.edit.ird.dxy.cn
https://edit.alumni.dxy.cn,https,,dxy.cn,https://edit.alumni.dxy.cn
https://middle.upload.dxy.cn,https,429 Too Many Requests,dxy.cn,https://middle.upload.dxy.cn
https://download.ask.dxy.cn,https,,dxy.cn,https://download.ask.dxy.cn
https://download.gaz.dxy.cn,https,,dxy.cn,https://download.gaz.dxy.cn
download.gtc.dxy.cn,http,,dxy.cn,http://download.gtc.dxy.cn
www.download.dxy.cn,http,429 Too Many Requests,dxy.cn,http://www.download.dxy.cn
edit.fanclub.dxy.cn,http,,dxy.cn,http://edit.fanclub.dxy.cn
upload.ns1.dxy.cn,http,,dxy.cn,http://upload.ns1.dxy.cn
https://edit.relax.dxy.cn,https,,dxy.cn,https://edit.relax.dxy.cn
edit.device.dxy.cn,http,429 Too Many Requests,dxy.cn,http://edit.device.dxy.cn
upload.cert.dxy.cn,http,,dxy.cn,http://upload.cert.dxy.cn
https://password.dxy.cn,https,,dxy.cn,https://password.dxy.cn
upload.baidu.dxy.cn,http,429 Too Many Requests,dxy.cn,http://upload.baidu.dxy.cn
https://vsqa.reset.dxy.cn,https,429 Too Many Requests,dxy.cn,https://vsqa.reset.dxy.cn
gm.edit.ird.dxy.cn,http,,dxy.cn,http://gm.edit.ird.dxy.cn
https://edit.rehab.dxy.cn,https,,dxy.cn,https://edit.rehab.dxy.cn
https://upload.t1.dxy.cn,https,,dxy.cn,https://upload.t1.dxy.cn
https://edit.ns55.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.ns55.dxy.cn
https://upload.animal.dxy.cn,https,,dxy.cn,https://upload.animal.dxy.cn
https://edit.simqa.dxy.cn,https,,dxy.cn,https://edit.simqa.dxy.cn
https://edit.surg.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.surg.dxy.cn
edit.relax.dxy.cn,http,,dxy.cn,http://edit.relax.dxy.cn
download.sim.dxy.cn,http,429 Too Many Requests,dxy.cn,http://download.sim.dxy.cn
upload.animal.dxy.cn,http,429 Too Many Requests,dxy.cn,http://upload.animal.dxy.cn
https://upload.ufa.dxy.cn,https,,dxy.cn,https://upload.ufa.dxy.cn
vsqa.reset.dxy.cn,http,,dxy.cn,http://vsqa.reset.dxy.cn
https://upload.sim.dxy.cn,https,,dxy.cn,https://upload.sim.dxy.cn
password.dxy.cn,http,,dxy.cn,http://password.dxy.cn
edit.mpzsjs.dxy.cn,http,,dxy.cn,http://edit.mpzsjs.dxy.cn
upload.t1.dxy.cn,http,,dxy.cn,http://upload.t1.dxy.cn
edit.ns55.dxy.cn,http,,dxy.cn,http://edit.ns55.dxy.cn
edit.vote.dxy.cn,http,,dxy.cn,http://edit.vote.dxy.cn
upload.ufa.dxy.cn,http,,dxy.cn,http://upload.ufa.dxy.cn
edit.simqa.dxy.cn,http,,dxy.cn,http://edit.simqa.dxy.cn
edit.a.ns.dxy.cn,http,,dxy.cn,http://edit.a.ns.dxy.cn
edit.happy.dxy.cn,http,,dxy.cn,http://edit.happy.dxy.cn
edit.surg.dxy.cn,http,,dxy.cn,http://edit.surg.dxy.cn
https://upload.ns2.dxy.cn,https,,dxy.cn,https://upload.ns2.dxy.cn
edit.rehab.dxy.cn,http,,dxy.cn,http://edit.rehab.dxy.cn
https://edit.obgyn.dxy.cn,https,,dxy.cn,https://edit.obgyn.dxy.cn
https://edit.happy.dxy.cn,https,,dxy.cn,https://edit.happy.dxy.cn
https://edit.paper.dxy.cn,https,,dxy.cn,https://edit.paper.dxy.cn
upload.jcc.dxy.cn,http,,dxy.cn,http://upload.jcc.dxy.cn
edit.index.dxy.cn,http,,dxy.cn,http://edit.index.dxy.cn
edit.obgyn.dxy.cn,http,,dxy.cn,http://edit.obgyn.dxy.cn
download.h.dxy.cn,http,,dxy.cn,http://download.h.dxy.cn
edit.paper.dxy.cn,http,429 Too Many Requests,dxy.cn,http://edit.paper.dxy.cn
edit.ophth.dxy.cn,http,,dxy.cn,http://edit.ophth.dxy.cn
https://edit.ebd.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.ebd.dxy.cn
edit.ebd.dxy.cn,http,,dxy.cn,http://edit.ebd.dxy.cn
edit.hao.dxy.cn,http,,dxy.cn,http://edit.hao.dxy.cn
https://edit.hao.dxy.cn,https,429 Too Many Requests,dxy.cn,https://edit.hao.dxy.cn
edit.kz.dxy.cn,http,429 Too Many Requests,dxy.cn,http://edit.kz.dxy.cn
https://edit.kz.dxy.cn,https,,dxy.cn,https://edit.kz.dxy.cn
xinji.reset.dxy.cn,http,,dxy.cn,http://xinji.reset.dxy.cn
https://download.web.pediatr.dxy.cn,https,,dxy.cn,https://download.web.pediatr.dxy.cn
edit.infect.dxy.cn,http,,dxy.cn,http://edit.infect.dxy.cn
https://edit.infect.dxy.cn,https,,dxy.cn,https://edit.infect.dxy.cn
https://admin.upload.search.dxy.cn,https,,dxy.cn,https://admin.upload.search.dxy.cn
edit.rheum.dxy.cn,http,,dxy.cn,http://edit.rheum.dxy.cn
https://download.edit.host4.dxy.cn,https,,dxy.cn,https://download.edit.host4.dxy.cn
dev.admin.upload.search.dxy.cn,http,,dxy.cn,http://dev.admin.upload.search.dxy.cn
upload.master.test2.oantitripa.dxy.cn,http,,dxy.cn,http://upload.master.test2.oantitripa.dxy.cn
yyyyyyyyym.2.download.www.y.dxy.cn,http,,dxy.cn,http://yyyyyyyyym.2.download.www.y.dxy.cn
2.download.www.y.dxy.cn,http,,dxy.cn,http://2.download.www.y.dxy.cn
test2.upload.jtebaise.dxy.cn,http,,dxy.cn,http://test2.upload.jtebaise.dxy.cn
https://wx.upload.jolijou.dxy.cn,https,,dxy.cn,https://wx.upload.jolijou.dxy.cn
download.oantitripa.dxy.cn,http,,dxy.cn,http://download.oantitripa.dxy.cn
edit.zabbix.referrals.dxy.cn,http,,dxy.cn,http://edit.zabbix.referrals.dxy.cn
https://download.mgr.ird.dxy.cn,https,,dxy.cn,https://download.mgr.ird.dxy.cn
autodiscover.api.edit.rheum.dxy.cn,http,,dxy.cn,http://autodiscover.api.edit.rheum.dxy.cn
https://data.download.pipombo.dxy.cn,https,,dxy.cn,https://data.download.pipombo.dxy.cn
https://live.search.download.mall.dxy.cn,https,,dxy.cn,https://live.search.download.mall.dxy.cn
https://upload.w.qnoyzone.dxy.cn,https,,dxy.cn,https://upload.w.qnoyzone.dxy.cn
console.upload.jolijou.dxy.cn,http,,dxy.cn,http://console.upload.jolijou.dxy.cn
https://res.edit.ird.dxy.cn,https,,dxy.cn,https://res.edit.ird.dxy.cn
res.edit.ird.dxy.cn,http,,dxy.cn,http://res.edit.ird.dxy.cn
upload.js.referrals.dxy.cn,http,,dxy.cn,http://upload.js.referrals.dxy.cn
upload.mssql01.dxy.cn,http,,dxy.cn,http://upload.mssql01.dxy.cn
edit.edm.ytudomais.dxy.cn,http,,dxy.cn,http://edit.edm.ytudomais.dxy.cn
https://c.upload.jtebaise.dxy.cn,https,,dxy.cn,https://c.upload.jtebaise.dxy.cn
upload.en.forum.ird.dxy.cn,http,,dxy.cn,http://upload.en.forum.ird.dxy.cn
https://download.imagesbypc.dxy.cn,https,,dxy.cn,https://download.imagesbypc.dxy.cn
tool.edit.ird.dxy.cn,http,,dxy.cn,http://tool.edit.ird.dxy.cn
https://download.imchat.dxy.cn,https,,dxy.cn,https://download.imchat.dxy.cn
zhidao.edit.ird.dxy.cn,http,,dxy.cn,http://zhidao.edit.ird.dxy.cn
edit.en.forum.ird.dxy.cn,http,,dxy.cn,http://edit.en.forum.ird.dxy.cn
edit.vote.madison.dxy.cn,http,,dxy.cn,http://edit.vote.madison.dxy.cn
